Value,Diff
10055.2,121.82
9933.38,175.57
9757.81,-269.66
10027.47,-360.07
10387.54,-151.47
10539.01,82.1
10456.91,-65.32
10522.23,-69.98
10592.21,48.99
10543.22,-106.7
10649.92,-177.2
10827.12,44.11
10783.01,179.05
10603.96,45.96
10558,165.01
10392.99,-34.21
10427.2,-288.93
10716.13,-79.88
10796.01,10.79
10785.22,-56.38
10841.6,-98.95
10940.55,166.19
10774.36,144.69
10629.67,186.8
10442.87,38.57
10404.3,-57.04
10461.34,373.83
10087.51,-70.2
10157.71,-34.8
10192.51,-152.89
10345.4,205.28
10140.12,-331.79
10471.91,-70.64
10542.55,81.58
10460.97,-51.66
10512.63,-110.44
10623.07,325.23
10297.84,-5.6
10303.44,-145.7
10449.14,-191.69
10640.83,-10.35
10651.18,10.27
10640.91,82.88
10558.03,-42.28
10600.31,41.08
10559.23,161.94
10397.29,-50.08
10447.37,-231.19
10678.56,36.62
10641.94,222.35
10419.59,-149.11
10568.7,276.39
10292.31,4.97
10287.34,72.12
10215.22,-187.55
10402.77,-127.99
10530.76,-155.28
10686.04,-80.29
10766.33,-165.29
10931.62,54.11
10877.51,98.93
10778.58,-97.01
10875.59,-7.68
10883.27,165.77
10717.5,-241.81
10959.31,-0.56
10959.87,292.48
10667.39,-239.82
10907.21,113.59
10793.62,-125.43
10919.05,-196.27
11115.32,53.47
11061.85,40.26
11021.59,-54.75
11076.34,-203.31
11279.65,-0.32
11279.97,170.65
11109.32,-10.72
11120.04,-17.61
